#timestamp tx ty tz qx qy qz qw
1578862365.354457250 -2.669294767 -0.062516986 0.350260700 0.545284124 0.668191868 -0.429526678 -0.267753027
1578862365.750183300 -2.923992057 -0.157315176 0.348723395 0.550059382 0.673210686 -0.420345968 -0.259867881
1578862366.211240949 -3.134208363 -0.235862496 0.344323645 0.547696298 0.672628812 -0.421485391 -0.264479322
1578862366.375504900 -3.231208126 -0.275737916 0.337356653 0.544326029 0.674977963 -0.418468721 -0.270181149
1578862367.034425499 -3.418223736 -0.318847044 0.293423626 0.552430636 0.683374987 -0.405546948 -0.251695634
1578862367.133356999 -3.439904961 -0.321330398 0.275203056 0.552788964 0.688288301 -0.397307217 -0.250660230
1578862367.529082799 -3.715772889 -0.393609909 0.229512721 0.559024618 0.702617381 -0.372867546 -0.234072821
1578862367.990140749 -4.045415040 -0.467035267 0.209534355 0.555165304 0.697872682 -0.379019443 -0.247203290
1578862368.055472799 -4.078947995 -0.469809828 0.194623331 0.553783543 0.694113760 -0.385322312 -0.251110714
1578862368.451198500 -4.239647006 -0.483377085 0.188372594 0.549875744 0.690141450 -0.392128738 -0.259954799
1578862368.813324799 -4.446938145 -0.501089928 0.191691979 0.545239812 0.684449104 -0.402586278 -0.268639646
1578862369.339715050 -4.750946683 -0.525690012 0.169516086 0.555166165 0.688509736 -0.389914562 -0.256342557
1578862369.735440849 -5.000382740 -0.544782744 0.190770981 0.547476158 0.677392968 -0.410438644 -0.270090250
1578862369.800779049 -5.022181692 -0.539751219 0.186617678 0.548016177 0.676105091 -0.412540085 -0.269018315
1578862370.295430100 -5.336033982 -0.553655952 0.235218377 0.540903584 0.665120416 -0.430347537 -0.282558211
1578862370.657556399 -5.490221755 -0.564027090 0.256934406 0.534377515 0.661985717 -0.447461080 -0.275670390
1578862371.053282299 -5.647266535 -0.609388680 0.279707895 0.500246347 0.689233759 -0.459639598 -0.251876671
1578862371.284744999 -5.716932360 -0.629749539 0.333301829 0.470796391 0.690596029 -0.504569009 -0.216420882
1578862371.613271999 -5.821377064 -0.691617972 0.422184137 0.406064634 0.693201968 -0.572638565 -0.163302229
1578862371.678603899 -5.849790835 -0.674933077 0.420593515 0.394363983 0.697427677 -0.579078192 -0.150798313
1578862371.910066149 -5.892520618 -0.741535112 0.452014518 0.331291641 0.730353007 -0.582492245 -0.132412686
1578862372.238593149 -5.910936064 -0.794615878 0.458120091 0.247890881 0.755492878 -0.600507516 -0.084683796
1578862372.535387549 -5.899904789 -0.865804073 0.478753451 0.175126903 0.775175133 -0.604811956 -0.051347633
