#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1578862330931904099, 1.931273525469450955e-02, -7.030649186476982219e-03, -9.983067527668946714e-03, -1.706001189772433924e-01, 9.828082643959995535e-01, 2.706992855799900816e-02, 6.519765185755173331e-02, 1.998231988926064268e-02, 2.636631460503819496e-03, -6.470316340796073915e-03, -1.397207089021611399e-03, -7.320114266358561037e-03, -2.328382542240550138e-03, 9.820716631225550729e-04, 1.109053864656178506e-03, 5.527075511500057804e-03
1578862331030835449, 2.074527451621609869e-02, -6.966496540167408172e-03, -1.086723046604032988e-02, -1.698428748070114624e-01, 9.830774239389038494e-01, 2.754902494361341492e-02, 6.287469796026536051e-02, 2.234107469548010996e-02, 3.915019092967918571e-03, -6.367287483012746239e-03, -1.596711391138333968e-03, -7.445812327808455297e-03, -2.365823333585855958e-03, 1.064258938581255686e-03, 1.253609113866600323e-03, 5.217623067573124405e-03
1578862331096167699, 2.153434653516341293e-02, -7.050630558661927054e-03, -1.161922695755911866e-02, -1.693186349522761980e-01, 9.832665249968938204e-01, 2.761398838070819664e-02, 6.128301823622001043e-02, 2.317725803142410904e-02, 3.310627843176794458e-03, -7.012509744387575121e-03, -1.787656022381576074e-03, -7.587089786384591111e-03, -2.410076241990354983e-03, 1.158664417584777092e-03, 1.460144466075777607e-03, 4.871754676404123525e-03
1578862331195098949, 2.344061583130971349e-02, -6.912336401613470606e-03, -1.265696856050865793e-02, -1.683388130885724032e-01, 9.835956231780478287e-01, 2.734370774278252827e-02, 5.877087475778798586e-02, 2.806879347172728384e-02, 5.665400651936474546e-03, -7.077764899784344532e-03, -1.950139724463895814e-03, -7.707592743726211781e-03, -2.445871963072176764e-03, 1.226385710233208375e-03, 1.618684129124145629e-03, 4.514838530671452278e-03
1578862331260431200, 2.514057722493473132e-02, -6.709921238224924797e-03, -1.328069182504978268e-02, -1.675709110318275297e-01, 9.838394946795450124e-01, 2.671700947499906081e-02, 5.714927724279516424e-02, 3.276128029184673107e-02, 6.675391032366688460e-03, -6.849669180826490136e-03, -2.019271722689257829e-03, -7.766349179749340061e-03, -2.458850814577335109e-03, 1.256981668988349206e-03, 1.686640963419718019e-03, 4.367594175613047358e-03
1578862331294030399, 2.528941979223601338e-02, -6.978208351204527767e-03, -1.413864188995108545e-02, -1.670418242945931053e-01, 9.839906490984847709e-01, 2.617186214923360524e-02, 5.634239127618420606e-02, 3.236833298634630984e-02, 5.880712918065281528e-03, -6.698388460771944469e-03, -2.282320035061095528e-03, -8.006933830258820828e-03, -2.505041948218669334e-03, 1.322719816389930896e-03, 1.878285664648433233e-03, 4.035957034973239321e-03
1578862331327630049, 2.579513886707411260e-02, -7.100987157802517158e-03, -1.471559053542418824e-02, -1.665376971853989307e-01, 9.841402102169433119e-01, 2.558353709525348213e-02, 5.548625667704416842e-02, 3.393827681986050920e-02, 6.885238929852630779e-03, -6.469612874949792758e-03, -2.445897071273980036e-03, -8.154799514019608897e-03, -2.531276167216385108e-03, 1.342040999518477173e-03, 1.953875809011662665e-03, 3.921346367402434030e-03
1578862331359362699, 2.635269307671372213e-02, -7.168788882319025724e-03, -1.522506694529489508e-02, -1.660971366451641229e-01, 9.842780856892796582e-01, 2.492600532525366189e-02, 5.465423577958151286e-02, 3.539520124546770979e-02, 8.470893590992427044e-03, -6.081444208025680968e-03, -2.589014792492091641e-03, -8.293333018604659435e-03, -2.549486948023309708e-03, 1.354264073047092452e-03, 2.024748425931773184e-03, 3.826432109669134288e-03
1578862331392962199, 2.676633259090984915e-02, -7.255845220308958059e-03, -1.588371653304484349e-02, -1.656176370227737393e-01, 9.844216875825838597e-01, 2.424499387617349774e-02, 5.382303963912681705e-02, 3.605842645205421804e-02, 1.021817114219574982e-02, -5.312601147055512861e-03, -2.806610892721473748e-03, -8.507122673876215888e-03, -2.563460406996333815e-03, 1.335575676177062129e-03, 2.136880429614961083e-03, 3.710758012764065177e-03
1578862331491893299, 2.922262676700543294e-02, -7.048198216484837311e-03, -1.698932868861223466e-02, -1.644626779954141971e-01, 9.847780399023059461e-01, 2.258201776720979853e-02, 5.151982284820854491e-02, 4.276948018728391615e-02, 1.464108930990891920e-02, -3.664873895320313896e-03, -3.033849912783147598e-03, -8.822592720984824555e-03, -2.567168625770146519e-03, 1.415024048674419716e-03, 2.411385944418514577e-03, 3.497921029285197721e-03
