#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1578862330536177849, 8.497008470291399912e-03, -1.079024498744648314e-02, -7.478908511042894024e-03, -1.707961182892100138e-01, 9.821524110280849262e-01, 1.989869604149326759e-02, 7.621921926198227393e-02, 4.175755207612747051e-03, -3.806117719882670322e-04, -6.571487942533703851e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862330569777499, 8.644512732481289194e-03, -1.078811546102654249e-02, -7.703025200888516388e-03, -1.708150092256177643e-01, 9.821782542169730235e-01, 2.076506744396302423e-02, 7.561032694413409583e-02, 4.591076356557819219e-03, 5.145351392710562684e-04, -6.823770267143976047e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862330635109299, 8.959990939881895544e-03, -1.071376774615691134e-02, -8.153828111415066526e-03, -1.708841140213430421e-01, 9.822283379456696606e-01, 2.238840156314383240e-02, 7.432947724204429230e-02, 5.202042327441593408e-03, 1.698538129338054460e-03, -7.051469003276278000e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862330700441749, 9.268080821145597420e-03, -1.056511010954801037e-02, -8.625306953388768225e-03, -1.710197362952906031e-01, 9.822712946482620167e-01, 2.399595406871355210e-02, 7.293522945633884591e-02, 4.371807772188780056e-03, 2.533540241689237558e-03, -7.313693713917133327e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862330734041249, 9.406681210295872800e-03, -1.048105386200842357e-02, -8.868623652231628907e-03, -1.711025222709064153e-01, 9.822922618182713395e-01, 2.479902642406345975e-02, 7.218620043261428365e-02, 4.031516559632316796e-03, 2.367532739070630533e-03, -7.146715213328885472e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862330799372899, 9.632293750394642362e-03, -1.036386545017795383e-02, -9.311297539407360421e-03, -1.711541756509667445e-01, 9.823520787958113232e-01, 2.624884419544950415e-02, 7.072227104094712391e-02, 3.361637101121827276e-03, 1.001733132193261856e-03, -6.553478079284875274e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862330866571700, 9.872739915496893739e-03, -1.034724625039730450e-02, -9.731574968148729368e-03, -1.710041120248819435e-01, 9.824486527239625344e-01, 2.745476018697301165e-02, 6.927102261789151727e-02, 3.954739162570726496e-03, -6.039672883837988960e-04, -5.867319730561284391e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862330931904099, 1.014113141660747883e-02, -1.040556020955087091e-02, -1.010909271219116549e-02, -1.706620930593258645e-01, 9.825820044246490470e-01, 2.826512589884972240e-02, 6.788326179089408663e-02, 4.262677853491712507e-03, -9.409529381280617782e-04, -5.658474569181867579e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
1578862331030835449, 1.067203808513215307e-02, -1.067642752540719220e-02, -1.127179037282110240e-02, -1.698170273451095891e-01, 9.828754736218349164e-01, 2.876822435407156917e-02, 6.550091483206772758e-02, 4.898687826622668412e-03, -2.687238228236730510e-03, -6.668904694550856736e-03, -1.649184279949800691e-03, -4.209614529555370452e-03, -1.895729331693338888e-03, 1.738876726882049436e-03, 4.126289845940904022e-04, 9.504158167022297432e-03
1578862331096167699, 1.106761582450965092e-02, -1.097354155988140151e-02, -1.206198145810444267e-02, -1.692647840320717079e-01, 9.830663186614468918e-01, 2.897190802042506896e-02, 6.395838135586993933e-02, 5.450622013029792108e-03, -1.817397741001063787e-03, -7.201249473268057401e-03, -1.792232881323029253e-03, -4.390365751430842269e-03, -1.956926399352981998e-03, 1.674508250015427314e-03, 4.224352583703201778e-04, 9.041188952827418010e-03
