#timestamp tx ty tz qx qy qz qw
1578862354.220001499 -0.558439981 -0.063070851 -0.023731049 0.559333112 0.713370346 -0.292369305 -0.304580711
1578862354.714658749 -0.567396477 -0.047172457 -0.023145922 0.568677470 0.704081424 -0.309147765 -0.292066674
1578862355.175716649 -0.580254630 -0.039000895 -0.024442871 0.573615728 0.700742454 -0.309797829 -0.289741807
1578862355.769305249 -0.603667830 -0.025438692 -0.024424090 0.582839303 0.700367357 -0.301878954 -0.280451438
1578862356.394627049 -0.629702638 -0.015686967 -0.016106759 0.578421829 0.698518364 -0.312383561 -0.282695587
1578862356.790352849 -0.629811534 -0.031250992 -0.013694937 0.560347891 0.712572648 -0.312140623 -0.284286289
1578862357.415674499 -0.648509996 -0.035199156 -0.001151408 0.548692612 0.717714891 -0.326787018 -0.277546389
1578862357.712468699 -0.658767088 -0.034357642 0.005024175 0.549457231 0.716820074 -0.329365613 -0.275288986
1578862358.207126149 -0.674703465 -0.033972479 0.008604495 0.546200506 0.718102890 -0.328594857 -0.279318218
1578862358.832447599 -0.700016472 -0.032740602 0.016962805 0.544590772 0.717537534 -0.329519519 -0.282803226
1578862359.160974899 -0.758086244 0.002753416 0.035793755 0.549788434 0.714264756 -0.337158566 -0.271813608
1578862359.556700299 -0.785328986 0.018629217 0.046213486 0.553441692 0.708963227 -0.346384456 -0.266629417
1578862359.952426250 -0.796446446 0.022847969 0.056102049 0.554190326 0.707839757 -0.347503261 -0.266603535
1578862360.150289399 -0.787349728 0.017359862 0.055487858 0.554627607 0.707865532 -0.346813123 -0.266524416
1578862360.710278699 -0.883137782 0.091539865 0.087728346 0.550694608 0.701830714 -0.356844181 -0.277184646
1578862361.106004699 -0.874223760 0.075832590 0.087230861 0.543314802 0.694053895 -0.374505652 -0.287825872
1578862361.533463099 -0.863542731 0.049168923 0.077034751 0.537052852 0.681837749 -0.397013452 -0.298415543
1578862362.059853349 -0.941556913 0.065897253 0.100392633 0.533103745 0.667656039 -0.420931744 -0.304716717
